Buster Poindexter,spotify:artist:5He6VbFkpZk9D73A22xwDo
Trini Lopez,spotify:artist:5FlTKgucbhHvlJVf0pnvOv
Charlie Barnet,spotify:artist:4SPws2VXOmZIiRTp75mzsb
Jimmie Lunceford,spotify:artist:5z49AOW1q5dtslkcj6wGsW
Jack Teagarden,spotify:artist:3okiREk3dV4F8BmK7cpEJf
Alfred Hause,spotify:artist:7rgiQjIMTYCdZ2i1DDlZqf
Johnnie Ray,spotify:artist:6SQKNCUKIWjR1pQ1U3PZZq
June Christy,spotify:artist:7D51E97yRZ8Su45PW9zbzP
Steve Lawrence,spotify:artist:271pvVqDFiREx6PqzwOX8p
Cliff Richard & The Shadows,spotify:artist:4IdvJZeciaa37wYr2qBpjm
Augie Rios,spotify:artist:1JCtFumetjuzJEnOTBanRC
Woody Herman,spotify:artist:2KSxJY1WxGGVYSmoM0N54P
The Four Freshmen,spotify:artist:7eAF64ZiDwK2rDPSrr97D9
Timi Yuro,spotify:artist:2JyxVsEiD9HVRM7CtFaLCK
Charles Brown,spotify:artist:3trsSEaKM3UM2R9RBJwdtJ
Eddie Fisher,spotify:artist:6bHSJldq5J4lYowHOm9OOX
Cilla Black,spotify:artist:3bCvHtuIXWXPbCMdSYudmZ
Ray Peterson,spotify:artist:7BDI9Iqt24gl4RGdS6hWs9
Helen O'Connell,spotify:artist:0uQXiLK3wKmucUs9fAKx4I
James Darren,spotify:artist:1aRdnBeUqTNY9zdBzOrkvJ
Betty Hutton,spotify:artist:4VCyL3xDf8AYZUQRtEF7bp
Billy Fury,spotify:artist:7rtLZcKWGV4eaZsBwSKimf
Ed Ames,spotify:artist:1iBpJEBrSFXCtPOc5OUZiY
Tony Martin,spotify:artist:0EFbbYqV2BDlRwk7A1SGtb
The Ames Brothers,spotify:artist:4oXaAEofJFedGweFqy5qiv
Helen Shapiro,spotify:artist:05kB8yh0Bbxj73qH63Ob3C
Della Reese,spotify:artist:63qOOnxbI8rVgpakjpnFBp
Joni James,spotify:artist:0hiq5HixjjN3gtSXLZmnBw
Xavier Cugat,spotify:artist:44w5lL6V07MCIaEX3aba8R
Georgia Gibbs,spotify:artist:6E8uXyNsUKeGOgRqAOcgBa
John Gary,spotify:artist:7JZGn3cCxwdRIoudPO1kNL
Dick Haymes,spotify:artist:3BiJGZsyX9sJchTqcSA7Su
Carmen Cavallaro,spotify:artist:3HdNBBi4kL2kbJUWfp179a
Mitch Miller,spotify:artist:0kLeQeOAEqHdFMUItesuij
Frank Chacksfield,spotify:artist:556bh5qJfhSUkjTluTTyMF
Frank Ifield,spotify:artist:4IYYmybW7zLRFIPnOjBUUO
Jim Nabors,spotify:artist:5obkpruq3y0AJFeZnNLheK
Helen Merrill,spotify:artist:4JHlHSUko0ivu6fXYT8J2q
Sergio Franchi,spotify:artist:3afJ7ksCTA53PwM233jIf8
Ella Mae Morse,spotify:artist:0qGFARKf4pfodYjZbj5N4v
Sue Thompson,spotify:artist:4KCnuZQWRl9FEwAcduZhP9
Lee Wiley,spotify:artist:1IRFfdGI95F5UTMST4udG3
Kate Smith,spotify:artist:0Te1NusV6mkAMJ1VAkzJiX
Chris Connor,spotify:artist:5Q6PVXflC7LKN42bYupRJQ
Eddy Howard,spotify:artist:6Vb8yGTdhnyIbGS5evBxbF
Gene Autry & The Pinafores,spotify:artist:5NiHO0Xv9SzUOEicb0wUm8
Sandie Shaw,spotify:artist:5uxkcHbgyNbyzq1nyChvCa
Al Hibbler,spotify:artist:6iWkhfvI0raTI7Akxo7ODQ
Anne Shelton,spotify:artist:1Ug1gaXH8V5vrIHNyOTXrh
Jeri Southern,spotify:artist:53zwWZL3vLQ7fVfKrhrzaK
Guy Lombardo,spotify:artist:5u5O35ppRJaOpOrU1CeKEW
Ray Anthony,spotify:artist:5YRqxl4KfzKkFBMu408yv6
Ernestine Anderson,spotify:artist:7yNele4jnVhZJ2GE7Kg25T
Maxine Sullivan,spotify:artist:0tEpMx1r2UhJNf6yMvVBLG
Dakota Staton,spotify:artist:2oJWxzbOW9q6pTekL8JPGx
Fred Waring,spotify:artist:7gCWQSZbWg8DWn1VQWWO88
